continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status,company_age
Europe,Doctorate,Y,Y,1200,Midwest,81816.46,Year,Y,0,10
Asia,Bachelor's,Y,N,2841,South,49817.21,Year,Y,1,24
Asia,Doctorate,N,Y,86,South,47116.64,Year,Y,0,23
North America,Doctorate,Y,N,727,Northeast,5704.88,Year,Y,0,85
Asia,Bachelor's,Y,N,3827,South,65376.07,Year,Y,0,28
Asia,Bachelor's,N,N,235,Northeast,130562.97,Year,Y,1,9
South America,Master's,N,N,3340,South,110782.39,Year,Y,1,23
North America,Master's,N,Y,618,Northeast,54027.96,Year,Y,1,15
Asia,High School,N,N,12766,Midwest,75635.89,Year,N,0,17
Europe,Master's,Y,N,2558,Northeast,7480.44,Year,Y,0,23
Asia,Bachelor's,Y,N,892,West,92935.65,Year,Y,0,85
Asia,Bachelor's,Y,N,899,West,30271.57,Year,Y,0,29
North America,Master's,N,N,1215,South,134875.89,Year,N,0,21
North America,Bachelor's,N,N,1301,Northeast,197.9846,Hour,Y,1,19
Asia,Master's,N,N,2298,Northeast,38191.89,Year,N,0,15
Asia,Master's,Y,N,959,South,99037.13,Year,N,0,25
Asia,Bachelor's,Y,N,3063,Island,168065.23,Year,Y,0,185
Asia,Bachelor's,Y,N,3758,Northeast,13686.44,Year,Y,0,13
Asia,Bachelor's,Y,N,733,South,95684.51,Year,Y,1,18
Asia,Bachelor's,Y,N,2114,Northeast,15.7716,Hour,Y,0,11
Asia,Bachelor's,N,N,4767,West,95292.12,Year,Y,0,93
Asia,Bachelor's,N,N,102516,Island,107345.47,Year,Y,0,100
Asia,High School,Y,N,4157,Midwest,117620.38,Year,Y,1,24
Asia,Bachelor's,N,N,638,West,66518.06,Year,Y,1,35
Asia,Bachelor's,N,Y,2162,Northeast,76189.23,Year,Y,0,11
South America,Bachelor's,N,Y,114,Northeast,92586.31,Year,Y,1,19
Europe,Bachelor's,Y,N,2381,West,31569.96,Year,Y,0,11
Asia,Bachelor's,N,Y,704,South,84801.63,Year,Y,0,10
Asia,Bachelor's,Y,N,833,Northeast,85801.9,Year,Y,1,16
Asia,High School,N,N,2727,Midwest,106156.37,Year,Y,1,34
Asia,Bachelor's,Y,N,5226,Northeast,21292.25,Year,Y,0,65
Asia,Bachelor's,Y,N,106940,South,90143.39,Year,N,0,16
North America,Master's,N,N,822,Island,202188.16,Year,Y,0,36
Asia,Bachelor's,Y,N,2755,South,119351.61,Year,N,0,16
Asia,Bachelor's,N,N,19534,Northeast,879.9837,Hour,Y,0,48
Oceania,Master's,N,N,3173,Northeast,122.65,Hour,Y,1,30
Asia,Bachelor's,Y,N,677,West,13501.01,Year,Y,1,33
Asia,Bachelor's,Y,N,3206,Midwest,95448.09,Year,Y,0,25
Asia,Master's,N,N,1549,South,68783.26,Year,Y,0,23
Asia,Master's,Y,N,3837,Midwest,112406.97,Year,Y,0,29
Europe,Master's,Y,Y,1897,Northeast,107441.04,Year,Y,0,185
Asia,Master's,N,N,2258,Northeast,20013.09,Year,Y,0,25
Asia,High School,N,N,2154,Midwest,266440.49,Year,Y,0,18
Asia,Master's,Y,N,1635,Northeast,108079.45,Year,Y,0,28
Asia,Bachelor's,Y,N,124464,Island,82766.78,Year,Y,0,17
Asia,Master's,Y,N,1848,South,38907.13,Year,Y,0,77
Asia,Master's,Y,Y,1891,Northeast,50949.96,Year,Y,0,24
North America,Master's,N,N,88,South,542.6532,Hour,Y,1,107
Asia,Bachelor's,N,N,3347,Northeast,104484.75,Year,Y,0,16
Asia,Bachelor's,Y,N,4515,West,20136.52,Year,Y,0,53
Asia,Master's,Y,N,2548,Midwest,205023.34,Year,Y,0,10
North America,Bachelor's,N,N,448,Northeast,87359.42,Year,Y,0,17
Asia,Master's,N,N,144,Island,135705.37,Year,Y,0,16
Asia,High School,N,Y,2536,South,102354.13,Year,Y,1,25
Asia,High School,Y,N,4209,West,698.6972,Hour,Y,1,133
Asia,Bachelor's,Y,N,2418,Midwest,181611.3,Year,Y,1,81
North America,Bachelor's,Y,N,1940,South,88199.87,Year,Y,0,21
Asia,Doctorate,N,Y,1000,South,112491.31,Year,Y,0,168
North America,Master's,Y,N,2040,West,42903.74,Year,Y,1,33
Europe,Bachelor's,Y,N,812,West,86686.18,Year,Y,1,40
Asia,Master's,Y,N,939,West,115939.73,Year,Y,0,77
Europe,Bachelor's,Y,N,862,West,86145.12,Year,Y,1,18
Asia,Master's,Y,N,3272,West,150845.9,Year,Y,0,11
Europe,Master's,Y,N,2632,Northeast,91721.82,Year,Y,0,26
Asia,Bachelor's,N,Y,3627,South,33969.49,Year,Y,1,55
North America,Bachelor's,Y,N,3473,Midwest,62879.08,Year,Y,0,58
Asia,Master's,Y,N,-14,South,17893.11,Year,Y,0,37
Asia,Bachelor's,Y,N,1498,West,6942.4,Year,Y,0,17
Asia,Master's,Y,N,2732,Midwest,29126.28,Year,Y,0,71
North America,Bachelor's,Y,N,4111,South,12250.17,Year,Y,0,11
Asia,Bachelor's,Y,N,2698,West,34168.31,Year,Y,0,53
North America,Master's,Y,N,3031,South,71027.76,Year,N,0,29
Asia,Master's,Y,N,1814,Northeast,31139.14,Year,Y,0,23
Europe,Bachelor's,Y,N,4138,Midwest,49518.65,Year,N,0,72
Asia,High School,N,Y,4118,West,58092.26,Year,Y,1,17
Asia,Doctorate,N,N,474,South,50222.15,Year,Y,0,54
North America,Bachelor's,N,N,2239,West,32853.44,Year,Y,1,57
Europe,Bachelor's,Y,N,3452,Northeast,98621.04,Year,Y,0,19
Asia,Bachelor's,Y,N,728,South,66561.26,Year,Y,0,57
North America,Bachelor's,N,N,4678,Northeast,135817.09,Year,N,1,35
Asia,Bachelor's,Y,N,1295,Northeast,31706.19,Year,Y,1,25
Asia,Master's,Y,N,4783,Northeast,227035.49,Year,Y,0,26
Asia,Bachelor's,Y,Y,1091,South,133980.12,Year,Y,0,34
Europe,Master's,Y,N,1475,Midwest,33687.14,Year,N,0,29
North America,Bachelor's,Y,N,1106,West,7004.01,Year,Y,0,119
North America,Bachelor's,Y,N,3341,West,21557.85,Year,Y,0,23
Asia,High School,Y,N,128655,West,22844.38,Year,Y,1,19
Asia,Master's,Y,N,2117,Midwest,133655.95,Year,Y,0,9
Europe,Master's,Y,N,1552,West,77243.1,Year,Y,0,25
North America,Master's,Y,N,4584,South,113330.48,Year,N,0,142
Asia,Master's,Y,N,2861,West,54.9196,Hour,Y,1,19
North America,Bachelor's,Y,N,26537,South,92942.37,Year,Y,1,30
Asia,High School,Y,N,1290,South,28692.69,Year,Y,1,77
Asia,Doctorate,Y,Y,2292,West,82907.88,Year,Y,0,39
Asia,Bachelor's,Y,Y,364,South,67538.01,Year,Y,1,48
Asia,Bachelor's,Y,N,1742,South,16925.4,Year,Y,0,148
Asia,Bachelor's,Y,N,3968,South,30260.62,Year,Y,1,20
Asia,Bachelor's,N,N,4302,South,125624.38,Year,Y,0,14
Europe,Bachelor's,N,N,483,Northeast,111.11,Hour,Y,1,40
North America,Master's,Y,Y,4128,South,125070.15,Year,Y,0,20
Asia,Bachelor's,Y,N,653,Northeast,105894.46,Year,N,1,13
Asia,Master's,Y,N,8462,Northeast,24925.81,Year,Y,0,18
Europe,Bachelor's,Y,N,1640,West,101978.99,Year,Y,0,50
Asia,Bachelor's,Y,N,758,Northeast,189190.48,Year,Y,0,14
Asia,Bachelor's,N,Y,1577,West,78203.13,Year,Y,0,20
Asia,Master's,Y,N,865,Midwest,270184.42,Year,Y,0,15
Asia,Bachelor's,N,N,2317,West,71491.69,Year,Y,1,17
Asia,Bachelor's,N,N,1656,Northeast,93379.96,Year,Y,1,121
Europe,Doctorate,Y,N,1067,South,28299.61,Year,Y,0,50
Asia,Bachelor's,Y,N,4509,South,135431.21,Year,N,0,65
Africa,Master's,Y,N,1531,West,109611.55,Year,Y,0,21
Asia,Master's,N,N,2800,Midwest,163334.78,Year,N,0,17
Asia,Bachelor's,N,N,7994,Northeast,488.9859,Hour,Y,1,30
Asia,Master's,Y,N,2633,Northeast,18359.9,Year,Y,0,25
Asia,Bachelor's,N,N,1420,Midwest,37063.59,Year,Y,0,13
Africa,Bachelor's,Y,N,2248,Northeast,96832.44,Year,Y,1,29
Europe,Doctorate,Y,N,19600,Northeast,14714.66,Year,Y,0,44
Europe,Doctorate,Y,N,914,Northeast,33116.0,Year,Y,0,214
Europe,Bachelor's,N,N,1615,West,96332.09,Year,Y,0,35
Asia,Bachelor's,Y,N,4329,South,130674.71,Year,Y,1,100
Asia,Bachelor's,N,N,830,Northeast,441.4346,Hour,Y,0,15
Europe,Doctorate,Y,N,3922,Northeast,15073.37,Year,Y,0,37
Asia,Master's,Y,N,676,Midwest,126293.71,Year,Y,0,60
Asia,Bachelor's,N,Y,765,Northeast,77697.21,Year,Y,1,61
Asia,Bachelor's,N,N,7462,Northeast,133953.16,Year,Y,1,185
Europe,Bachelor's,N,Y,94,South,118981.15,Year,N,1,182
North America,Bachelor's,N,Y,526,Northeast,93347.63,Year,Y,0,16
Asia,Master's,N,N,2324,Midwest,115365.49,Year,Y,0,17
North America,Master's,Y,N,578,Northeast,123845.84,Month,Y,1,33
South America,Master's,Y,Y,2139,West,193048.67,Year,Y,0,162
Europe,Bachelor's,N,Y,746,South,25237.95,Year,Y,0,12
Asia,Bachelor's,Y,N,2397,Midwest,92833.95,Year,Y,0,168
Asia,Master's,Y,Y,1827,South,62878.78,Year,Y,0,30
Europe,Bachelor's,N,N,5033,Northeast,9662.34,Year,Y,0,16
Asia,Bachelor's,N,N,276,West,4744.35,Year,Y,0,14
North America,Bachelor's,Y,N,1329,West,9283.53,Year,Y,0,45
Asia,Bachelor's,Y,N,3023,West,606.7502,Hour,Y,1,14
North America,Bachelor's,N,Y,2388,West,33311.22,Year,Y,1,26
Asia,Master's,N,Y,6216,South,108685.48,Year,Y,0,15
Europe,Master's,Y,N,2044,West,52066.67,Year,Y,0,48
Europe,Master's,Y,N,1068,West,26374.62,Year,Y,1,13
Europe,Bachelor's,N,Y,2092,South,22924.91,Year,Y,0,25
Europe,Bachelor's,Y,Y,2004,West,59506.35,Year,Y,0,184
North America,Master's,Y,N,124534,Northeast,32251.93,Year,Y,0,47
Europe,Doctorate,N,N,795,Northeast,41164.33,Year,Y,0,61
Europe,Bachelor's,Y,Y,3330,West,30039.08,Year,Y,0,45
North America,Master's,N,N,720,Midwest,133530.75,Year,Y,0,19
Asia,Master's,Y,N,3441,Midwest,79646.42,Year,Y,0,23
Asia,Bachelor's,Y,N,2860,Northeast,40100.06,Year,Y,0,22
Asia,High School,Y,N,3763,West,56966.02,Year,Y,0,34
Europe,Bachelor's,Y,N,91,Northeast,22228.36,Year,Y,0,11
Asia,Master's,N,N,3584,South,125122.1,Year,Y,0,43
Asia,Doctorate,Y,N,132,Midwest,31732.61,Year,Y,0,24
Europe,Bachelor's,N,N,2945,West,78579.46,Year,Y,0,13
Asia,Bachelor's,N,N,495,Northeast,80525.73,Year,N,1,17
Asia,Bachelor's,Y,N,8441,South,25100.45,Year,Y,1,36
Europe,Master's,Y,Y,2067,South,65945.6,Year,Y,0,17
North America,Bachelor's,Y,N,1403,South,106581.74,Year,N,0,18
Asia,Master's,N,Y,2126,South,81534.43,Year,Y,0,101
Asia,Master's,N,Y,3253,South,147042.75,Year,Y,0,27
North America,Bachelor's,Y,N,1182,Midwest,100352.79,Year,Y,1,13
Europe,Master's,Y,N,76069,South,40773.8,Year,Y,0,79
Asia,Master's,Y,Y,1447,West,35028.97,Year,Y,1,24
North America,Bachelor's,N,Y,3791,Northeast,101718.16,Year,Y,0,22
Asia,Master's,Y,N,195,South,106743.79,Year,Y,0,30
North America,High School,Y,N,5165,South,109966.19,Year,Y,1,8
Asia,Master's,Y,N,2191,South,96860.0,Year,Y,0,15
South America,High School,Y,N,1818,West,34546.74,Year,Y,1,25
Asia,Bachelor's,Y,N,2500,South,78956.76,Year,N,1,25
Asia,High School,N,N,1624,Midwest,3057.83,Year,Y,1,17
Oceania,High School,N,N,4332,Northeast,110241.0,Year,Y,1,18
Asia,Bachelor's,N,N,536,West,63811.81,Year,Y,1,95
Asia,High School,N,Y,3248,West,70300.58,Year,Y,1,19
Asia,Doctorate,N,Y,2166,South,208373.95,Year,Y,0,29
Asia,Master's,N,N,2309,Northeast,10084.11,Year,Y,1,72
Asia,Bachelor's,N,Y,2245,South,96236.24,Year,Y,1,20
Asia,High School,Y,N,2174,West,311.3324,Hour,Y,1,55
North America,High School,Y,Y,1085,South,99015.62,Year,Y,1,22
Asia,Master's,N,N,13934,West,59791.02,Year,Y,0,38
Europe,Doctorate,Y,N,3614,West,24276.77,Year,Y,0,76
North America,Master's,N,N,681,Northeast,122865.02,Year,Y,0,37
North America,Master's,Y,N,2914,South,117402.45,Year,N,1,127
Asia,Master's,N,N,2916,West,20929.57,Year,Y,0,60
Asia,Bachelor's,N,N,3014,West,86898.39,Year,Y,1,44
Asia,Bachelor's,N,N,2895,Northeast,115.2475,Hour,Y,1,20
Asia,Master's,Y,N,2021,Midwest,147419.9,Year,Y,0,91
Europe,High School,Y,N,1375,South,65826.29,Year,Y,1,12
Asia,Bachelor's,N,N,1760,South,94641.32,Year,Y,1,26
Asia,Master's,N,N,3903,Midwest,71436.98,Year,Y,0,125
North America,High School,N,N,2084,Northeast,463.3973,Hour,Y,1,36
Asia,Bachelor's,N,N,2436,Northeast,44595.08,Year,Y,1,14
Asia,Bachelor's,N,N,953,Northeast,60754.84,Year,Y,1,35
Europe,Bachelor's,Y,N,1928,West,184892.13,Year,Y,1,19
North America,Doctorate,N,N,3399,Northeast,73252.96,Year,Y,0,14
Europe,Bachelor's,Y,N,2258,West,136558.18,Year,Y,0,19
Asia,Bachelor's,N,Y,-17,West,91897.57,Year,Y,0,33
Europe,High School,Y,N,4075,South,51659.44,Year,Y,0,19
Africa,Bachelor's,N,N,175,Midwest,41383.14,Year,Y,1,23
Asia,Master's,Y,N,3620,Midwest,136289.98,Year,Y,0,22
Europe,High School,Y,N,4867,South,11315.49,Year,Y,1,140
Asia,Master's,N,N,167,Northeast,55.6048,Hour,Y,1,37
Asia,Bachelor's,N,N,30748,South,84262.2,Year,Y,0,10
North America,Master's,Y,N,4072,South,8731.89,Year,Y,0,9
Asia,Master's,N,N,1177,South,102829.4,Year,Y,1,82
Asia,Bachelor's,N,N,2507,Northeast,127822.96,Year,Y,0,25
Asia,Bachelor's,Y,N,1687,Northeast,84717.64,Year,N,0,31
Asia,Master's,N,N,2900,Northeast,246955.19,Year,N,0,185
Europe,Master's,Y,N,472,South,42310.98,Year,Y,0,24
North America,Master's,N,N,1240,Midwest,137386.87,Year,N,0,19
Asia,Bachelor's,N,Y,3375,South,83040.2,Year,Y,0,20
Africa,Bachelor's,Y,N,1605,Northeast,208169.03,Year,Y,1,76
Asia,Bachelor's,Y,N,2327,West,241928.36,Year,Y,0,25
Asia,High School,N,N,94,Northeast,56021.57,Year,Y,1,39
Asia,High School,Y,N,961,South,41650.15,Year,Y,0,18
Asia,Bachelor's,Y,N,718,West,82023.65,Year,Y,1,55
Europe,Bachelor's,Y,N,3207,Midwest,61031.95,Year,Y,0,28
Asia,Bachelor's,N,N,3300,Northeast,116801.81,Year,Y,1,30
Asia,Bachelor's,N,N,3537,Midwest,88664.77,Year,Y,0,25
Asia,Master's,N,N,2624,Island,126716.84,Year,N,0,76
Asia,Bachelor's,Y,N,2969,West,51498.72,Year,Y,1,25
Asia,Doctorate,Y,N,2683,Northeast,66566.56,Year,Y,0,41
Asia,Doctorate,Y,Y,113282,Midwest,164893.0,Year,Y,0,12
Asia,Bachelor's,N,N,469,Northeast,97682.1,Year,Y,0,11
Asia,Bachelor's,Y,N,4890,West,75663.34,Year,Y,0,18
North America,Master's,Y,N,2707,Midwest,5272.36,Year,Y,0,30
Asia,High School,N,N,4507,Midwest,89494.92,Year,Y,0,20
Europe,Master's,N,N,619,South,92773.58,Year,Y,0,23
Asia,High School,Y,N,1814,West,561.9526,Hour,Y,0,55
Asia,Bachelor's,Y,N,916,Midwest,139824.33,Year,Y,0,14
Africa,Master's,Y,N,2605,Northeast,394.3561,Hour,Y,1,114
Asia,Master's,Y,N,724,South,138160.05,Year,Y,0,10
Asia,Bachelor's,Y,N,234,Northeast,33839.12,Year,Y,0,25
Europe,Master's,Y,N,2984,West,38136.75,Year,Y,0,29
Europe,Bachelor's,N,N,1057,West,33867.14,Year,Y,0,112
North America,Bachelor's,N,Y,7457,West,111418.62,Year,Y,1,29
Asia,High School,Y,N,10029,South,31489.1,Year,Y,1,12
Asia,Bachelor's,Y,N,256,West,43817.6,Year,Y,0,24
Asia,Master's,Y,N,717,South,116370.47,Year,Y,0,75
Europe,Master's,Y,N,397,Northeast,149.58,Hour,Y,0,21
Europe,Master's,N,Y,13,Northeast,148325.69,Year,Y,0,34
Asia,High School,Y,N,3043,Northeast,371.8531,Hour,Y,1,22
Asia,Master's,Y,N,4470,Northeast,63850.11,Year,N,0,39
Asia,High School,Y,Y,577,South,80302.98,Year,Y,0,19
Asia,Master's,Y,N,79,Northeast,4409.09,Year,Y,0,25
South America,Doctorate,N,Y,516,South,145878.28,Year,Y,0,18
Asia,High School,Y,N,2697,South,45510.62,Year,Y,1,24
Asia,High School,Y,N,445,West,54913.07,Year,Y,1,62
Asia,Bachelor's,Y,N,3352,Midwest,90753.13,Year,Y,1,20
Asia,Bachelor's,Y,N,4048,West,126460.74,Year,Y,1,11
Europe,Bachelor's,Y,N,4663,West,76748.48,Year,Y,0,62
Europe,Bachelor's,N,N,2778,South,63642.68,Year,Y,1,115
Asia,High School,N,N,1640,South,702.8717,Hour,Y,0,16
Asia,Master's,Y,N,540,West,58522.88,Year,Y,1,103
Asia,Master's,Y,N,2381,South,491.9346,Hour,Y,0,169
Asia,Master's,N,N,838,West,132681.91,Week,Y,0,14
Asia,Bachelor's,Y,N,2201,South,74957.14,Year,Y,0,27
North America,High School,Y,N,139451,Northeast,57482.45,Year,Y,0,39
North America,Master's,Y,N,3487,Northeast,435.7708,Hour,Y,0,113
South America,High School,Y,N,1548,South,54803.17,Year,Y,0,17
Asia,Master's,N,N,5397,South,156385.87,Year,Y,0,52
Asia,Bachelor's,N,N,820,South,99942.79,Year,Y,0,34
Europe,Doctorate,N,N,4595,Northeast,17176.81,Year,Y,0,24
Asia,Master's,Y,Y,2600,West,138619.15,Year,Y,0,38
Asia,Master's,Y,N,1729,Northeast,91214.37,Year,Y,0,20
Asia,Bachelor's,N,Y,2228,Northeast,17.8912,Hour,Y,0,16
Asia,Master's,Y,N,5966,Northeast,213882.72,Year,Y,0,22
Asia,Master's,N,N,4990,Northeast,117998.47,Year,N,1,47
Asia,Master's,Y,N,3764,West,93517.52,Year,Y,0,77
Asia,Bachelor's,Y,N,1917,Northeast,63824.11,Year,Y,0,15
Asia,Master's,Y,N,6361,Northeast,41727.1,Year,Y,0,24
Asia,Bachelor's,Y,Y,224,West,106967.85,Year,Y,0,36
Europe,High School,N,N,5284,Northeast,47037.14,Year,Y,1,26
Asia,Master's,N,N,1059,West,104156.58,Year,N,0,112
Asia,Bachelor's,Y,N,4335,Northeast,67492.0,Year,Y,0,33
Asia,Bachelor's,Y,N,395,Northeast,112679.02,Year,Y,0,24
Asia,Bachelor's,Y,N,1088,Northeast,56120.83,Year,Y,0,18
Asia,Master's,Y,N,1295,South,92362.64,Year,Y,0,36
Asia,Bachelor's,N,N,16220,Midwest,86889.87,Year,Y,0,29
Asia,Bachelor's,Y,N,3411,Midwest,96261.1,Year,N,1,16
Asia,Master's,N,Y,105737,South,89542.78,Year,Y,0,23
Asia,High School,Y,N,368,West,118826.99,Year,Y,0,25
Asia,Bachelor's,Y,Y,2178,West,75073.61,Year,Y,0,60
Asia,Bachelor's,Y,N,516,South,431.4548,Hour,Y,1,26
Asia,Master's,N,N,390,Midwest,158981.18,Year,Y,0,47
Asia,Master's,N,N,2932,West,233642.47,Year,N,0,18
North America,Bachelor's,Y,N,3432,Northeast,72042.5,Year,N,1,23
Asia,Master's,Y,N,4299,West,26771.9,Year,Y,0,19
Asia,High School,N,N,3743,South,137768.71,Year,Y,1,25
Asia,Master's,N,N,3425,Midwest,130817.72,Year,Y,0,18
Asia,Bachelor's,Y,N,1233,South,65908.92,Year,Y,0,148
Africa,Bachelor's,N,N,358,Northeast,334.4413,Hour,Y,1,58
Asia,Master's,Y,N,4876,South,29887.03,Year,Y,0,15
Asia,Bachelor's,N,N,1183,Northeast,95771.26,Year,Y,0,22
Asia,Master's,N,Y,1792,Northeast,143437.65,Year,Y,1,25
Asia,High School,Y,N,3223,West,48050.55,Year,Y,1,44
Africa,Bachelor's,N,N,3257,South,106445.7,Week,Y,1,54
Europe,Master's,N,N,1863,Midwest,22489.25,Year,Y,1,35
Asia,Bachelor's,Y,N,1458,South,111014.78,Year,Y,0,84
Asia,Bachelor's,Y,N,2617,Northeast,39445.95,Year,Y,0,39
Asia,Master's,Y,N,1209,Northeast,24701.96,Year,Y,0,40
Asia,Master's,Y,N,3670,Northeast,37269.49,Year,Y,1,103
Asia,Master's,N,N,5598,West,76264.25,Year,N,0,27
Asia,Bachelor's,Y,N,20,Northeast,60740.18,Year,Y,1,14
Asia,High School,Y,N,4498,Midwest,39257.01,Year,Y,1,156
Europe,Bachelor's,N,Y,1724,West,110824.54,Year,Y,0,31
Asia,Doctorate,Y,N,797,Midwest,69071.14,Year,Y,0,114
Europe,Bachelor's,Y,N,1504,West,10357.93,Year,Y,0,22
North America,Bachelor's,N,N,105,Northeast,69098.66,Year,Y,0,20
North America,Bachelor's,Y,N,1332,West,111715.46,Year,Y,1,28
Africa,Bachelor's,Y,N,4129,Midwest,122006.72,Year,Y,1,16
Asia,High School,N,Y,562,Midwest,103276.29,Year,Y,1,27
Europe,Bachelor's,N,Y,43367,South,8342.39,Year,Y,1,159
Europe,High School,N,N,1875,Island,23961.61,Year,Y,1,11
Asia,High School,N,N,10337,Midwest,259277.18,Year,Y,1,24
Asia,Bachelor's,N,N,5074,South,134853.53,Year,N,0,22
Europe,Bachelor's,Y,Y,1367,South,106455.88,Year,Y,0,26
Africa,High School,N,N,1670,Northeast,93261.24,Year,Y,1,18
Europe,Bachelor's,Y,N,938,West,7716.74,Year,Y,0,16
Europe,Bachelor's,N,Y,2065,South,120541.42,Year,Y,0,46
Asia,High School,N,N,3309,Midwest,23528.29,Year,Y,0,42
Asia,Doctorate,N,N,532,Northeast,105275.12,Year,Y,0,29
Asia,High School,Y,N,4599,South,72922.13,Year,Y,1,93
Europe,Bachelor's,N,N,13510,Northeast,53745.53,Year,Y,0,187
Asia,Doctorate,Y,Y,1701,West,25684.28,Year,Y,1,26
North America,High School,Y,N,353,Northeast,79510.93,Year,N,1,56
Asia,Bachelor's,Y,N,4470,West,120503.59,Year,Y,1,24
Asia,Master's,N,N,4594,West,83288.7,Year,N,1,29
Asia,High School,N,N,808,Northeast,32072.67,Year,Y,1,46
Asia,Bachelor's,Y,N,120,Midwest,137316.75,Year,Y,0,12
Asia,Bachelor's,Y,N,1316,South,121968.71,Year,Y,0,77
Asia,Doctorate,Y,N,5892,South,62327.54,Year,N,0,22
Asia,Bachelor's,Y,N,1032,South,52653.36,Year,Y,1,38
Europe,Bachelor's,N,Y,580,Northeast,86406.18,Year,Y,1,21
Asia,Bachelor's,N,N,5058,South,100856.5,Year,N,1,25
Asia,Master's,N,N,1697,West,137.76,Hour,Y,0,43
Europe,High School,N,N,1041,West,14995.93,Year,Y,1,21
Asia,Master's,Y,N,3135,Midwest,24412.58,Year,Y,0,46
Asia,Master's,Y,N,3578,Northeast,241811.15,Year,N,0,109
Asia,Bachelor's,Y,N,41,South,64700.77,Year,N,0,61
Asia,High School,N,Y,2337,South,68153.11,Year,Y,1,23
Asia,High School,Y,N,2806,South,77975.57,Year,Y,1,19
Asia,Master's,Y,N,5100,Island,161837.84,Year,Y,0,46
North America,Master's,Y,N,2082,West,97343.56,Year,N,0,12
Asia,Doctorate,Y,N,2450,Northeast,79771.94,Year,Y,0,100
North America,Bachelor's,Y,N,2724,South,69335.2,Year,Y,0,25
Asia,High School,Y,N,1407,Midwest,167672.22,Year,Y,0,21
Asia,Master's,Y,N,1419,Midwest,97140.6,Year,Y,0,65
Asia,Bachelor's,Y,N,1189,Northeast,19897.93,Year,Y,0,24
Asia,Master's,Y,N,15383,West,82540.63,Year,Y,0,19
Asia,High School,N,N,743,Northeast,139185.13,Year,Y,1,169
Asia,Bachelor's,Y,N,2991,Midwest,105360.29,Year,N,0,145
Asia,Master's,N,N,118196,Northeast,78996.12,Year,Y,0,15
Asia,Master's,N,Y,1372,West,148985.61,Year,Y,0,16
Asia,Doctorate,Y,N,69962,Midwest,92817.04,Year,N,0,27
Asia,High School,Y,N,2377,South,48191.18,Year,Y,0,17
North America,Bachelor's,N,N,2649,Northeast,28541.29,Year,Y,0,60
Asia,Master's,Y,N,4495,South,46366.46,Year,Y,0,17
Asia,Doctorate,Y,N,114,Midwest,136433.16,Year,Y,0,16
Asia,Master's,N,N,95941,Island,17806.57,Year,Y,0,9
Asia,Bachelor's,Y,N,4761,Northeast,86205.73,Year,Y,1,37
Asia,Master's,N,N,1291,South,63813.69,Year,Y,1,150
Asia,Doctorate,Y,N,772,Midwest,83106.47,Year,Y,0,17
Asia,Bachelor's,Y,N,1477,West,117776.66,Year,Y,1,22
Asia,High School,Y,Y,299,South,69151.54,Year,Y,1,34
Asia,Bachelor's,Y,N,4105,South,3411.1,Year,N,0,24
North America,Bachelor's,Y,N,25936,Northeast,30649.42,Year,Y,0,48
Asia,Bachelor's,Y,N,3476,South,165081.17,Year,Y,0,168
Asia,Bachelor's,Y,N,46359,Island,101283.16,Year,N,0,10
Asia,Bachelor's,Y,N,583,Northeast,118412.59,Week,N,1,23
North America,Master's,Y,N,23932,South,109485.08,Year,Y,0,19
Asia,Doctorate,Y,N,3880,South,103294.94,Year,Y,0,22
North America,Master's,Y,N,3757,Island,89035.17,Year,N,1,22
Europe,Doctorate,N,N,471,West,38175.55,Year,Y,0,11
Asia,High School,Y,N,364,Northeast,55294.64,Year,Y,1,30
Asia,Bachelor's,Y,N,5575,Northeast,7676.07,Year,Y,0,121
Asia,Bachelor's,N,N,5888,Midwest,15418.27,Year,Y,1,18
North America,Master's,Y,N,2150,South,137769.42,Year,N,0,13
Asia,High School,N,N,3248,South,136991.5,Year,Y,1,26
North America,High School,N,N,2856,Midwest,109121.62,Year,Y,1,19
Europe,High School,Y,Y,757,South,142156.28,Year,Y,1,39
Asia,Master's,N,N,1809,West,141.72,Hour,Y,1,22
Asia,Master's,Y,N,1748,Island,248608.01,Year,Y,0,23
Asia,Master's,Y,N,1426,West,107487.46,Year,N,0,16
Europe,High School,Y,Y,4889,South,60298.78,Year,Y,0,32
Asia,Bachelor's,N,N,755,South,167.2888,Hour,Y,1,34
Asia,Bachelor's,Y,N,1695,Midwest,76975.04,Year,Y,0,14
Asia,Bachelor's,Y,N,5459,South,196117.47,Year,Y,1,13
North America,Master's,N,N,2158,West,424.768,Hour,Y,1,46
Asia,Master's,Y,N,3118,South,55059.48,Year,Y,0,60
Asia,High School,N,N,2756,Northeast,86541.17,Year,Y,1,15
Europe,Master's,N,N,56385,Northeast,79032.59,Year,Y,0,18
Asia,Master's,N,N,1397,Northeast,152367.64,Year,Y,0,74
Asia,Master's,N,N,1135,South,76256.89,Year,Y,0,26
Europe,Bachelor's,Y,N,58,Northeast,68044.08,Year,Y,0,15
Europe,Bachelor's,N,Y,883,Northeast,68254.81,Year,Y,1,37
Asia,Master's,Y,N,2029,Northeast,19912.9,Year,Y,0,14
Asia,Master's,Y,N,4056,West,28677.45,Year,Y,0,10
